ts,ad_channel,device,region,campaign,spend_l7,pages_per_session,sessions_l30,time_on_site_s,pricing_views_l7,past_purchases,discount_flag,competitor_visits,converted
1/2/23 0:00,email,mobile,APAC,brand,374.9253861943825,6.563452054849613,4,419.51079965614935,1,1,0,1,1
1/2/23 1:00,search,desktop,NA,brand,581.5428152123889,4.884512601,3,358.5279795,1,0,1,1,1
1/2/23 2:00,social,desktop,NA,nonbrand,472.25630053055136,3.8652785213316525,2,282.57556068807565,1,0,0,0,0
1/2/23 3:00,search,desktop,APAC,nonbrand,553.5975633,3.8092996556035073,5,327.2047604939646,0,0,0,0,1
1/2/23 4:00,search,mobile,LATAM,brand,846.4821145842212,3.7240779679315383,7,210.0879475,2,1,0,1,1
1/2/23 5:00,display,desktop,NA,brand,391.5003293952354,3.6293404140128604,6,288.89802140376895,4,1,0,0,0
1/2/23 6:00,email,mobile,LATAM,nonbrand,265.6198155699267,2.097296767018956,3,75.10786313,1,0,0,1,1
1/2/23 7:00,direct,desktop,APAC,nonbrand,426.3290076825225,3.421628750414281,4,294.1697756053929,1,3,0,0,0
1/2/23 8:00,social,desktop,LATAM,nonbrand,553.1449252197431,4.722528941900735,7,296.0613494762653,1,1,0,0,0
1/2/23 9:00,social,tablet,NA,brand,550.9416439942011,1.9833397535383854,6,84.32028465810575,0,1,0,0,0
1/2/23 10:00,social,desktop,LATAM,nonbrand,539.4506189120474,4.190450743810699,5,343.92071751450163,2,2,0,0,0
1/2/23 11:00,search,desktop,NA,retargeting,901.6845525876821,5.412506995904725,4,365.6057752,0,0,0,0,1
1/2/23 12:00,search,desktop,NA,brand,726.7780223495151,3.7680660744729977,10,198.2757324320162,2,1,0,1,1
1/2/23 13:00,social,desktop,APAC,brand,454.76907179506475,4.150109890679079,5,260.68045966378173,1,0,0,0,1
1/2/23 14:00,search,mobile,APAC,nonbrand,856.2443736086636,1.8026581451442492,2,127.44465703375612,2,0,1,0,1
1/2/23 15:00,display,desktop,NA,nonbrand,365.2753903,5.070999302,6,344.40714446495303,1,0,0,0,0
1/2/23 16:00,social,mobile,APAC,nonbrand,704.3910233709985,3.0929575730127454,5,264.7574730962749,1,1,0,0,1
1/2/23 17:00,email,desktop,APAC,seasonal,308.7830240337537,4.284801740214093,10,237.16522157857827,2,0,0,0,0
1/2/23 18:00,display,mobile,NA,brand,305.6734448348109,4.138684806,1,271.42734834675355,0,1,0,1,0
1/2/23 19:00,search,desktop,NA,retargeting,845.5269740578026,3.56203798,1,269.12899951422713,0,0,0,0,0
1/2/23 20:00,email,desktop,EU,nonbrand,116.9539164664609,5.018781977264915,6,389.62881456527856,2,1,0,0,0
1/2/23 21:00,email,mobile,NA,nonbrand,318.5379511309479,3.4489902666625363,4,184.51624585921064,2,0,0,0,0
1/2/23 22:00,social,desktop,EU,retargeting,642.7550882,6.015431277653962,1,355.6799731902066,0,0,0,0,1
1/2/23 23:00,search,desktop,NA,retargeting,689.1591359,5.413426217715589,6,389.1003849201625,0,1,0,0,1
1/3/23 0:00,display,mobile,EU,retargeting,558.3058041963767,2.4859165465610484,7,96.90558425484028,0,1,1,0,1
1/3/23 1:00,search,tablet,LATAM,retargeting,914.1698823412977,4.543408399648136,6,207.92276850575863,3,0,0,0,1
1/3/23 2:00,search,desktop,APAC,brand,873.6460898261014,4.499850783586525,6,300.25369743941684,0,0,0,0,1
1/3/23 3:00,search,mobile,NA,nonbrand,833.6245195,2.8316242365706494,5,152.22380509253486,2,1,0,0,1
1/3/23 4:00,email,mobile,LATAM,nonbrand,358.3508421573425,5.374461555480457,3,334.6528440342955,0,0,1,0,0
1/3/23 5:00,display,tablet,EU,nonbrand,271.31551159196056,2.083291892514486,3,116.08663316647943,1,0,1,0,0
1/3/23 6:00,display,mobile,NA,nonbrand,456.0905415399526,3.996242527394463,2,197.08679504330965,1,1,0,1,0
1/3/23 7:00,email,desktop,LATAM,retargeting,239.0149842157241,5.097899662165146,8,334.62729953423025,5,1,0,0,1
1/3/23 8:00,social,tablet,NA,retargeting,448.6273101192853,4.534515705335859,5,256.4632994999022,2,1,0,0,0
1/3/23 9:00,display,desktop,EU,brand,544.1964591734554,4.498009405212193,8,316.2274275232543,2,2,0,0,1
1/3/23 10:00,search,desktop,LATAM,nonbrand,1015.0738085983754,3.5668457702167102,5,216.00495373782772,1,1,0,1,0
1/3/23 11:00,search,desktop,LATAM,nonbrand,820.0775051,6.207004974684424,4,436.5041359945324,0,0,0,1,1
1/3/23 12:00,display,desktop,NA,retargeting,406.88913786496136,4.194814741563206,3,282.9765331504732,2,1,0,0,1
1/3/23 13:00,social,desktop,APAC,retargeting,579.2502137012476,4.881074361930711,11,364.01409460400066,2,2,0,0,0
1/3/23 14:00,display,desktop,NA,brand,355.4812507845531,4.384839019733293,0,379.4972002135905,0,0,0,0,0
1/3/23 15:00,email,mobile,APAC,nonbrand,303.0092425135349,3.8149962338611356,4,221.57845175759323,4,2,0,0,0
1/3/23 16:00,display,mobile,NA,brand,365.0762364273801,3.9059738007216294,3,218.65400245387517,2,1,0,0,1
1/3/23 17:00,display,desktop,NA,nonbrand,563.1253271826105,5.847077927624156,3,395.53130325059936,3,2,0,0,1
1/3/23 18:00,display,mobile,NA,brand,330.18376728326064,3.762689523227892,2,231.10304644546147,0,0,0,0,0
1/3/23 19:00,search,mobile,EU,nonbrand,736.0600136287819,4.926903658260673,3,254.8722591,1,0,0,0,1
1/3/23 20:00,search,desktop,LATAM,brand,890.0508080588094,4.188621764662973,3,327.8163922731978,2,0,0,1,0
1/3/23 21:00,social,desktop,APAC,nonbrand,592.5088008108862,5.236570787249119,3,292.9370603177394,0,0,0,0,0
1/3/23 22:00,search,tablet,NA,brand,480.3033471998665,5.078831570678122,3,360.7883024678459,0,0,1,1,1
1/3/23 23:00,social,mobile,NA,seasonal,567.0149095016911,3.7543583151073134,2,251.14408191172095,0,0,0,0,0
1/4/23 0:00,email,desktop,APAC,nonbrand,461.3868001943731,4.086281436892853,12,324.15210678800264,3,0,0,0,1
1/4/23 1:00,search,desktop,APAC,seasonal,1153.2362925133352,5.270796697115225,2,359.1889044603736,0,1,0,0,1
1/4/23 2:00,search,tablet,EU,seasonal,842.8569881484939,4.204675724645741,3,309.9928414431773,0,0,0,0,0
1/4/23 3:00,search,mobile,NA,retargeting,605.0111167655399,2.8865793521630168,7,171.45462370148306,2,1,0,0,1
1/4/23 4:00,search,mobile,NA,seasonal,807.0162894287844,2.259216237185346,1,182.1653319315654,0,1,0,0,1
1/4/23 5:00,display,mobile,EU,brand,579.5200387123226,4.105920897792348,1,302.68555693716786,0,1,1,0,1
1/4/23 6:00,display,desktop,APAC,nonbrand,212.45910480212422,4.635380154714588,4,423.8929258554024,0,0,0,0,0
1/4/23 7:00,email,mobile,EU,nonbrand,277.2641116694589,4.261470572179884,5,326.58966859604317,1,0,0,0,1
1/4/23 8:00,display,desktop,EU,brand,472.0411087859106,3.4204294454653232,2,216.42161011206545,0,2,0,0,1
1/4/23 9:00,social,mobile,LATAM,nonbrand,403.85026547346047,2.5586638824217887,8,183.66474012008953,0,0,0,0,0
1/4/23 10:00,email,desktop,NA,nonbrand,97.06797707053883,4.680218638750326,7,375.73462501241346,4,0,0,0,0
1/4/23 11:00,search,mobile,NA,nonbrand,857.4227896858401,3.8649991306594322,7,231.12129600034308,3,2,0,0,0
1/4/23 12:00,search,desktop,NA,brand,936.4711854045689,4.771372779536046,7,318.93411107458473,0,0,1,0,0
1/4/23 13:00,search,desktop,NA,nonbrand,702.6038617836414,4.962472902,5,363.0796421715041,2,1,0,0,1
1/4/23 14:00,display,mobile,NA,nonbrand,270.5793576,2.4142994262057815,4,61.31530228688766,1,2,0,1,1
1/4/23 15:00,social,mobile,NA,nonbrand,421.3774669406947,4.2774748259542985,0,243.5232798560142,0,0,0,0,0
1/4/23 16:00,search,mobile,NA,nonbrand,783.9343599,3.1212725098271044,7,198.76174861163094,4,0,0,0,1
1/4/23 17:00,social,desktop,NA,nonbrand,548.1084338399769,4.356909065466394,4,336.4368940125354,0,2,0,0,0
1/4/23 18:00,search,desktop,NA,nonbrand,598.1476729851788,3.7226685390262446,8,318.19313891833843,1,1,0,0,0
1/4/23 19:00,display,desktop,EU,brand,498.9139862048421,5.542972202184405,5,332.3363331577437,3,0,0,1,1
1/4/23 20:00,social,desktop,APAC,seasonal,355.16766223673346,5.632048315219997,5,416.2788761783723,1,1,0,0,0
1/4/23 21:00,social,tablet,NA,nonbrand,550.4763955684259,1.7599482366623727,7,85.01299771651428,2,0,0,1,1
1/4/23 22:00,search,mobile,APAC,nonbrand,851.2233491,3.526276274998132,4,222.11864758714086,1,4,0,0,0
1/4/23 23:00,display,mobile,NA,seasonal,212.50483287779082,4.952602644856972,0,327.2830236708816,0,1,0,0,0
1/5/23 0:00,social,mobile,EU,nonbrand,295.1136288,4.187671895622894,3,151.71868987251173,1,1,0,1,1
1/5/23 1:00,search,desktop,NA,brand,799.5100020862401,3.963415850866263,9,293.59662101349215,1,0,0,0,0
1/5/23 2:00,search,desktop,NA,retargeting,684.0368066868313,5.293945295974611,4,474.1043375729677,2,1,0,0,1
1/5/23 3:00,direct,tablet,APAC,retargeting,377.20757230836386,3.434015484375548,1,195.1866112113059,0,0,0,0,1
1/5/23 4:00,affiliate,desktop,EU,retargeting,262.09403024126715,4.313678419067647,3,253.98138015543861,1,0,0,1,1
1/5/23 5:00,display,mobile,EU,brand,401.88316382058366,4.587852331,2,365.3374246327746,1,1,0,0,1
1/5/23 6:00,search,desktop,EU,retargeting,596.9143783926659,4.078983282284752,5,276.5141833,2,0,0,0,1
1/5/23 7:00,direct,desktop,NA,retargeting,403.65284453449965,4.462611113248298,3,255.71155828773288,0,0,0,0,0
1/5/23 8:00,email,desktop,NA,seasonal,387.8432248,4.8325852343655775,6,333.80565593225737,4,0,0,0,0
1/5/23 9:00,display,desktop,EU,seasonal,312.4493943,3.8663844277804253,4,285.3234436805636,0,0,1,0,0
1/5/23 10:00,social,mobile,NA,retargeting,533.9399194624294,4.145423408821664,5,293.00155172824424,0,0,0,0,1
1/5/23 11:00,search,tablet,LATAM,nonbrand,675.4180604237365,4.221149936021217,4,253.52396420341756,2,0,0,0,1
1/5/23 12:00,search,desktop,NA,brand,770.0088714,3.3271545106849034,6,223.74501288505004,1,2,0,0,0
1/5/23 13:00,affiliate,mobile,LATAM,retargeting,169.84904220822804,3.0093578604411753,5,215.55593515037395,1,0,0,0,0
1/5/23 14:00,social,desktop,LATAM,brand,432.6465077297178,4.018182478,3,318.56625336867256,0,1,0,0,1
1/5/23 15:00,search,desktop,LATAM,retargeting,847.8863489297045,4.265874862670529,7,223.0636633150535,1,0,0,0,1
1/5/23 16:00,search,mobile,LATAM,brand,733.5112431910583,3.406669563141827,4,185.5121436358595,1,0,0,0,0
1/5/23 17:00,display,desktop,EU,nonbrand,307.5203889251897,4.484749804900384,6,376.13037197129813,0,0,1,0,0
1/5/23 18:00,search,desktop,NA,nonbrand,930.9317906,4.24518924,8,336.6208012059833,1,1,0,0,1
1/5/23 19:00,email,desktop,NA,retargeting,187.4483029701393,5.850383196,12,368.9602749604523,5,1,0,1,1
1/5/23 20:00,email,desktop,APAC,nonbrand,227.7571689524864,3.6731157273162993,3,291.90855368370006,1,1,0,0,1
1/5/23 21:00,display,mobile,NA,retargeting,397.26767986100356,3.178300696263917,2,218.81562392598292,1,0,1,1,1
1/5/23 22:00,social,desktop,NA,nonbrand,531.8886942,3.882641445944576,2,283.26822887160756,2,0,0,0,0
1/5/23 23:00,display,desktop,NA,brand,239.50482769133166,4.201238121470371,1,336.19045138632646,2,0,0,0,0
1/6/23 0:00,display,mobile,LATAM,nonbrand,444.3372185521149,1.3874956923266286,4,100.52631064292369,0,0,0,0,1
1/6/23 1:00,display,desktop,EU,seasonal,407.8700181329203,4.1741761077959065,4,317.51254516724214,0,1,0,0,0
1/6/23 2:00,search,desktop,LATAM,nonbrand,711.7963588008088,4.550029542380831,0,362.37041670451987,1,0,1,0,1
1/6/23 3:00,social,desktop,EU,retargeting,540.7647002348758,4.562393020863102,5,285.4875005993795,2,0,0,0,1
1/6/23 4:00,search,mobile,NA,brand,784.7810532576041,4.191792039152137,7,183.09866535091024,1,0,0,1,0
1/6/23 5:00,social,tablet,NA,brand,555.4408322224984,4.736610114454879,6,305.91139796534986,2,2,0,0,0
1/6/23 6:00,social,tablet,NA,nonbrand,474.2558853,2.5919126428123116,9,170.21735826265024,3,0,0,0,0
1/6/23 7:00,search,desktop,NA,retargeting,884.5116071182929,2.920158592259442,3,219.83937497406234,0,0,0,0,0
1/6/23 8:00,search,desktop,NA,retargeting,870.4911611316476,4.441849319996172,9,312.48701243920254,4,1,0,0,1
1/6/23 9:00,display,mobile,NA,brand,259.4640269245043,2.0406769516095276,2,99.81579519147012,0,2,0,0,0
1/6/23 10:00,search,mobile,NA,seasonal,863.9387859606492,3.0493518062999523,8,136.9626560064312,1,1,1,0,0
1/6/23 11:00,direct,desktop,EU,seasonal,231.80143616858768,4.5986481593546475,3,332.4914111546591,0,0,0,0,1
1/6/23 12:00,display,mobile,EU,nonbrand,204.01238886055484,3.960746783664011,3,239.0392312032134,1,0,0,0,0
1/6/23 13:00,social,desktop,NA,nonbrand,420.81636737967483,4.2948395403797806,2,339.16706916580074,0,0,1,0,1
1/6/23 14:00,display,desktop,NA,brand,276.3238551993218,4.898132107771537,5,301.0608001151969,1,0,0,1,1
1/6/23 15:00,search,desktop,NA,seasonal,718.2415719,3.644469257170125,4,316.06765515210674,2,4,0,0,1
1/6/23 16:00,direct,mobile,EU,nonbrand,94.21784509035854,3.9280729984206144,3,191.6503638922644,0,1,0,0,0
1/6/23 17:00,social,mobile,EU,brand,619.0210549038542,2.776195508752039,2,148.80560154512307,1,1,0,0,1
1/6/23 18:00,email,desktop,APAC,brand,201.36137686638125,3.613239278976858,9,253.42478467517716,2,1,0,0,1
1/6/23 19:00,search,desktop,EU,retargeting,651.8562412681579,4.616391926756879,5,292.21249943516284,3,0,0,1,0
1/6/23 20:00,social,desktop,NA,retargeting,374.09484928903544,3.626879691,4,249.38685926701717,1,2,0,0,1
1/6/23 21:00,social,desktop,LATAM,nonbrand,528.8429967354884,3.2337570281651757,4,138.23095259097033,4,0,0,0,1
1/6/23 22:00,direct,desktop,NA,seasonal,127.83443051468608,6.515209487569985,5,463.70248647616876,1,1,0,0,0
1/6/23 23:00,display,desktop,NA,seasonal,236.8689105511738,4.1499664117777915,5,357.0731840583442,3,0,0,0,1
1/7/23 0:00,social,mobile,EU,seasonal,730.0930712658895,3.3862537348434714,4,236.7392315616993,0,0,0,1,0
1/7/23 1:00,search,mobile,EU,nonbrand,815.3762164356934,3.866302903,5,182.03012289930916,2,1,0,0,1
1/7/23 2:00,social,tablet,EU,brand,395.3827278686689,4.138693849318962,3,277.5008232785943,1,1,0,0,0
1/7/23 3:00,social,mobile,NA,retargeting,517.4033255510736,3.845237347670048,6,272.1610953657421,2,2,0,1,0
1/7/23 4:00,social,mobile,LATAM,nonbrand,301.94007177323465,3.246252484,6,236.7692283247074,4,2,0,0,1
1/7/23 5:00,search,mobile,NA,seasonal,864.3904685,2.9570316485116894,7,201.37121457229128,0,1,1,0,0
1/7/23 6:00,email,mobile,APAC,retargeting,267.33027926905874,2.2084176234055124,8,136.93104574458252,2,1,0,0,0
1/7/23 7:00,affiliate,desktop,NA,nonbrand,374.90575037332525,6.013174881394385,5,364.5418213583463,3,0,0,0,0
1/7/23 8:00,search,desktop,NA,nonbrand,680.1001367,5.731304046773751,7,453.8231141776822,2,2,1,0,1
1/7/23 9:00,display,desktop,NA,brand,366.7253016,5.122689047529066,3,379.4399850596324,0,1,0,0,1
1/7/23 10:00,search,mobile,NA,nonbrand,816.0317977938935,3.4112640798124927,4,227.2811635779987,1,0,0,0,1
1/7/23 11:00,display,desktop,NA,nonbrand,271.6036891192514,3.256106310937575,5,163.9896557015254,1,1,0,0,1
1/7/23 12:00,search,mobile,EU,seasonal,937.2231061345005,2.0012315630126514,2,156.94946784911036,0,1,1,0,1
1/7/23 13:00,display,mobile,APAC,seasonal,404.13428041162484,2.634315475,5,202.09732091880448,1,1,1,0,0
1/7/23 14:00,display,desktop,EU,retargeting,470.71733564825377,4.665339653505679,5,356.44066232953935,1,0,0,0,0
1/7/23 15:00,email,desktop,APAC,nonbrand,188.43629350214826,3.102971936102451,3,189.65241404861786,1,0,0,0,0
1/7/23 16:00,search,tablet,NA,seasonal,921.8280617,1.906607939305207,4,57.000877093482785,0,0,1,0,1
1/7/23 17:00,affiliate,desktop,NA,nonbrand,372.4044960572713,4.354564413094479,0,266.07218156801787,0,0,1,1,0
1/7/23 18:00,search,desktop,NA,brand,776.4391621311329,4.885742406539728,5,313.2017639852103,0,1,0,0,0
1/7/23 19:00,search,mobile,EU,retargeting,743.6615401083664,5.524214124,6,285.10166259801247,1,0,0,0,1
1/7/23 20:00,display,tablet,NA,brand,490.1631830797603,3.9962439711932527,4,302.71612390409757,0,1,0,0,1
1/7/23 21:00,social,desktop,NA,retargeting,425.9318850562562,4.666386268581958,6,323.3425252841492,3,0,0,0,1
1/7/23 22:00,email,desktop,APAC,brand,196.21776337666194,2.391685364821043,3,205.565516,2,0,1,0,1
1/7/23 23:00,email,desktop,APAC,brand,304.36155793341464,3.5539106743085336,7,270.8071313772497,1,0,0,0,0
1/8/23 0:00,search,mobile,EU,brand,687.0271818742762,4.161256815108279,5,299.2265386427164,2,0,0,0,0
1/8/23 1:00,direct,mobile,NA,brand,434.3198639690354,3.2495870588954077,6,149.80368466257272,4,1,0,0,0
1/8/23 2:00,search,tablet,NA,nonbrand,886.1727364187659,4.644806572665635,8,276.3716160943225,1,0,0,0,0
1/8/23 3:00,social,mobile,NA,seasonal,306.88102853117266,2.7367429026921672,5,163.453895,2,0,0,0,0
1/8/23 4:00,search,desktop,EU,brand,820.1561682059854,2.8266580774568286,1,266.86533614799225,2,0,0,0,1
1/8/23 5:00,direct,mobile,EU,nonbrand,182.63214887035178,4.3846994849789604,4,335.15121560111913,1,0,0,0,0
1/8/23 6:00,search,mobile,APAC,brand,872.7865557521953,4.4726577320179075,6,249.39393902293668,2,0,0,0,0
1/8/23 7:00,search,desktop,APAC,nonbrand,759.0948279869658,3.5401853892201496,7,246.03673651305488,0,2,0,0,0
1/8/23 8:00,social,mobile,NA,brand,522.5129124383172,5.2929023590301245,4,319.1753679671221,1,0,0,0,0
1/8/23 9:00,direct,desktop,NA,nonbrand,291.8576382142984,4.127330831739558,5,279.48734354284153,1,1,0,0,1
1/8/23 10:00,affiliate,mobile,EU,nonbrand,319.61612673896195,4.448995021,6,302.7822763985209,2,0,0,0,1
1/8/23 11:00,email,mobile,EU,nonbrand,478.5862203418827,3.331722551705212,9,183.6003466050263,3,0,0,0,0
1/8/23 12:00,affiliate,desktop,NA,brand,556.0807541933979,3.3764466743742356,4,192.74271686871566,0,0,0,0,1
1/8/23 13:00,affiliate,mobile,LATAM,brand,184.9062533268158,3.064362098013815,6,190.868604,0,0,0,0,0
1/8/23 14:00,social,desktop,EU,brand,506.08302543056215,4.084023195773369,4,356.72828162053037,0,0,0,0,1
1/8/23 15:00,search,desktop,LATAM,nonbrand,804.0190036428469,3.663567971455609,2,307.43861787490835,0,0,0,0,0
1/8/23 16:00,email,desktop,APAC,nonbrand,172.95800368678647,5.445422783376143,0,367.6189484398357,1,0,0,0,1
1/8/23 17:00,display,tablet,EU,nonbrand,392.7134626239203,3.9253426591753877,3,165.09341361629532,2,0,0,0,0
1/8/23 18:00,social,desktop,LATAM,retargeting,455.3360068,5.676937709,7,415.9058389175439,3,0,0,0,1
1/8/23 19:00,search,mobile,EU,nonbrand,700.4002620798824,3.5478100799584356,8,271.6620150754385,1,1,1,0,0
1/8/23 20:00,email,desktop,APAC,brand,380.66591579736206,4.228407263330874,7,376.03026549630573,2,1,0,0,1
1/8/23 21:00,search,desktop,EU,seasonal,711.8411623448688,4.438690541114304,6,286.3242330824958,1,1,0,0,1
1/8/23 22:00,direct,desktop,APAC,seasonal,252.07089291075533,5.6872793169880405,1,359.9773626902371,0,0,0,0,0
1/8/23 23:00,search,desktop,APAC,retargeting,925.2192558508457,3.5183144516959524,14,209.26914189219627,1,0,0,1,0
1/9/23 0:00,search,mobile,NA,seasonal,676.4179157726369,3.108698675791186,6,157.9325544028343,0,0,0,0,0
1/9/23 1:00,email,desktop,NA,retargeting,106.32920217230486,3.9795459710305128,6,332.8912211,1,0,0,0,1
1/9/23 2:00,search,mobile,APAC,nonbrand,827.5895749923322,4.304122337228393,5,235.81681803867502,0,1,0,0,1
1/9/23 3:00,search,mobile,LATAM,brand,869.5548006424455,3.6791090951626404,7,223.8706460960125,2,0,0,0,0
1/9/23 4:00,display,desktop,NA,retargeting,597.1182824684894,3.4412190013565063,7,196.66053740397902,0,0,0,0,1
1/9/23 5:00,affiliate,desktop,APAC,brand,416.9402894778751,5.058333037944171,3,269.1087211736492,3,0,0,1,0
1/9/23 6:00,search,desktop,EU,brand,594.9284310373293,2.6144569299681386,6,184.79071939066657,2,2,0,0,1
1/9/23 7:00,search,mobile,APAC,brand,913.4301385313203,2.329241848026804,7,109.1107649863225,2,0,1,0,1
1/9/23 8:00,email,mobile,LATAM,brand,431.3421810511022,3.638573716270672,6,269.99504191478354,5,0,0,0,1
1/9/23 9:00,direct,mobile,APAC,seasonal,140.18131100956242,3.925873793944291,1,301.4882951156738,1,0,0,0,0
1/9/23 10:00,social,desktop,NA,retargeting,356.5683673638802,4.692651930436757,4,278.1095572,0,1,0,0,0
1/9/23 11:00,search,mobile,EU,seasonal,845.4081063083796,1.8725934899041017,7,109.67156946560188,2,1,0,0,0
1/9/23 12:00,search,mobile,LATAM,nonbrand,786.4889166217898,1.8173699116388315,8,134.09091941408485,2,0,0,0,1
1/9/23 13:00,search,desktop,EU,brand,1046.198234964695,4.107715479,3,261.0685452,0,1,0,1,1
1/9/23 14:00,search,desktop,NA,brand,719.1152808237115,4.518291548661137,8,325.68447703292765,4,0,0,0,1
1/9/23 15:00,display,desktop,EU,brand,386.8921228813456,5.0542193622987135,5,313.97994948697556,1,0,0,0,1
1/9/23 16:00,search,mobile,LATAM,nonbrand,627.2897415518987,2.4369315315826037,4,156.70939092507464,1,0,0,0,1
1/9/23 17:00,social,mobile,EU,brand,655.7753686159436,3.9704581239429553,1,250.1829261015944,0,0,0,0,0
1/9/23 18:00,display,desktop,APAC,brand,357.03633755824325,4.911795474208767,5,377.6634948222114,1,0,0,0,0
1/9/23 19:00,display,mobile,NA,nonbrand,187.95625386131184,2.6615849935388227,2,142.8938804701153,0,2,0,0,1
1/9/23 20:00,search,mobile,EU,nonbrand,743.5502964413554,4.017777021178686,6,263.23662165955017,1,0,0,0,1
1/9/23 21:00,email,desktop,LATAM,brand,348.64780985288985,5.3128914560876686,6,379.7775179798819,4,0,0,0,0
1/9/23 22:00,display,desktop,NA,seasonal,417.21766637983444,5.0291829365424645,4,270.9646228457657,0,0,0,0,1
1/9/23 23:00,display,desktop,EU,nonbrand,315.5320154649312,4.329927614521381,6,309.11185336161486,4,1,0,1,1
1/10/23 0:00,search,mobile,NA,brand,823.9192778,3.6640029567773897,3,228.68405244960775,1,0,0,0,0
1/10/23 1:00,search,desktop,NA,retargeting,681.5222997892773,6.799426425009221,6,451.7158592382879,1,3,0,0,1
1/10/23 2:00,direct,mobile,APAC,nonbrand,74.68425536768547,2.6446010994983133,0,151.2448734217878,1,0,0,0,0
1/10/23 3:00,social,desktop,APAC,brand,380.0642860169513,5.797814500106623,5,348.7978613956936,0,1,0,0,0
1/10/23 4:00,search,mobile,APAC,brand,816.8562509635532,3.7594940202031273,2,206.04463552122968,1,0,0,1,0
1/10/23 5:00,social,mobile,APAC,nonbrand,546.783018,4.292825173551239,2,118.47948089909167,0,1,0,0,1
1/10/23 6:00,display,desktop,APAC,retargeting,537.1771621472512,4.261512274150483,5,357.1555867822845,0,0,0,0,1
1/10/23 7:00,direct,mobile,EU,seasonal,277.76953390231535,3.0425438145001666,0,156.74494437195193,2,1,0,0,1
1/10/23 8:00,search,mobile,APAC,seasonal,610.0749838139415,3.476751575099008,5,223.30145326073094,2,1,0,0,1
1/10/23 9:00,direct,desktop,APAC,brand,134.35539322644365,5.736529505267807,5,497.4204744198221,0,0,0,0,0
1/10/23 10:00,search,desktop,EU,seasonal,677.5005591108012,4.272530608621137,5,241.1637414904085,2,0,0,0,0
1/10/23 11:00,display,mobile,NA,nonbrand,343.3449583583111,1.440596757514877,8,118.5245556332918,1,0,0,0,0
1/10/23 12:00,display,tablet,NA,nonbrand,193.35709658656342,4.370067049890284,4,262.90719380180565,0,0,0,0,0
